,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeELORating,AwayELORating,EloGap,HomePossession,AwayPossession,year,month,HomeAttackingRating,HomeMidfieldRating,HomeDefenceRating,HomeOverallRating,AwayAttackingRating,AwayMidfieldRating,AwayDefenceRating,AwayOverallRating,HOMEATTACKVSAWAYDEFENCE,AWAYATTACKVSHOMEDEFENCE,HOMERATINGSVSAWAYRATINGS,HOMEMIDFIELDVSAWAYMIDFIELD
34,34,34,34,34,34,34,34,09/09/2017,Man City,Liverpool,5,0,H,2,0,H,13,10,7,3,10,9,8,3,2,2,0,1,1874.30981445,1863.06335449,11.246459960000038,64,36,2017,9,84,85,81,83,83,82,80,82,4,2,1,3
35,35,35,35,35,35,35,35,09/09/2017,Southampton,Watford,0,2,A,0,1,A,9,12,1,3,8,11,7,4,0,0,0,0,1695.07702637,1623.95483398,71.12219239000002,53,47,2017,9,78,78,78,78,77,76,76,77,2,-1,1,2
36,36,36,36,36,36,36,36,09/09/2017,Stoke,Man United,2,2,D,1,1,D,10,18,5,8,10,10,5,11,0,0,0,0,1675.10681152,1880.85107422,-205.74426270000004,37,63,2017,9,78,76,77,77,86,83,81,83,-3,9,-6,-7
37,37,37,37,37,37,37,37,10/09/2017,Burnley,Crystal Palace,1,0,H,1,0,H,4,23,2,5,7,14,3,13,1,1,0,0,1646.06152344,1607.66772461,38.39379882999992,38,62,2017,9,75,75,75,75,81,76,76,76,-1,6,-1,-1
38,38,38,38,38,38,38,38,10/09/2017,Swansea,Newcastle,0,1,A,0,0,D,10,16,4,8,11,15,7,5,2,3,0,0,1659.82202148,1625.54406738,34.27795410000021,61,39,2017,9,77,76,75,76,74,75,75,75,2,-1,1,1
39,39,39,39,39,39,39,39,11/09/2017,West Ham,Huddersfield,2,0,H,0,0,D,19,10,3,2,11,14,10,3,1,2,0,0,1652.51843262,1516.02844238,136.4899902400002,44,56,2017,9,80,78,78,79,75,73,72,73,8,-3,6,5
40,40,40,40,40,40,40,40,15/09/2017,Bournemouth,Brighton,2,1,H,0,0,D,15,9,3,2,5,12,6,4,0,0,0,0,1630.04516602,1595.56408691,34.48107910999988,61,39,2017,9,76,74,75,75,75,74,73,74,3,0,1,0
41,41,41,41,41,41,41,41,16/09/2017,Crystal Palace,Southampton,0,1,A,0,1,A,14,13,3,4,14,13,5,5,5,1,0,0,1604.59191895,1680.5324707000002,-75.94055175000017,45,55,2017,9,81,76,76,76,78,78,78,78,3,2,-2,-2
42,42,42,42,42,42,42,42,16/09/2017,Huddersfield,Leicester,1,1,D,0,0,D,15,10,3,1,6,6,8,4,1,1,0,0,1513.62121582,1715.17163086,-201.55041504,57,43,2017,9,75,73,72,73,80,78,76,78,-1,8,-5,-5
43,43,43,43,43,43,43,43,16/09/2017,Liverpool,Burnley,1,1,D,1,1,D,35,5,9,4,7,9,12,2,1,2,0,0,1849.14086914,1653.74401855,195.39685059,72,28,2017,9,83,82,80,82,75,75,75,75,8,-5,7,7
44,44,44,44,44,44,44,44,16/09/2017,Newcastle,Stoke,2,1,H,1,0,H,14,13,3,4,13,11,7,5,3,1,0,0,1638.93383789,1680.98876953,-42.05493163999995,43,57,2017,9,74,75,75,75,78,76,77,77,-3,3,-2,-1
